txn_id,user_id,merchant,category,amount,datetime,city,cashback,status
TXN000001,USR0317,Nykaa,Shopping,1152.59,2024-01-01 03:29:50,Delhi,28.82,approved
TXN000002,USR0330,Apollo Pharmacy,Healthcare,10.0,2024-01-01 04:57:03,Hyderabad,0.27,approved
TXN000003,USR0096,Jio,Utilities,926.7,2024-01-01 04:57:19,Delhi,10.23,approved
TXN000004,USR0211,Zepto,Groceries,137.71,2024-01-01 05:33:40,Chennai,3.26,approved
TXN000005,USR0373,IndiGo,Travel,7001.18,2024-01-01 06:29:07,Delhi,,approved
TXN000006,USR0060,Nykaa,Shopping,2234.54,2024-01-01 07:14:13,Mumbai,99.22,approved
TXN000007,USR0109,BPCL,Fuel,55.77,2024-01-01 08:38:05,Chennai,0.48,approved
TXN000008,USR0306,Cleartrip,Travel,5237.32,2024-01-01 10:16:05,Jaipur,0.0,declined
TXN000009,USR0227,Shell,Fuel,38.78,2024-01-01 10:35:46,Pune,0.3,approved
TXN000010,USR0355,BSNL,Utilities,285.75,2024-01-01 10:46:37,Kanpur,4.23,approved
TXN000011,USR0028,Netmeds,Healthcare,1398.46,2024-01-01 13:01:01,Mumbai,29.28,approved
TXN000012,USR0343,Amazon,Shopping,1316.45,2024-01-01 13:13:07,Hyderabad,55.8,approved
TXN000013,USR0053,Indian Oil,Fuel,54.86,2024-01-01 13:31:05,Delhi,0.28,approved
TXN000014,USR0176,McDonald's,Dining,524.11,2024-01-01 13:48:51,Mumbai,11.08,approved
TXN000015,USR0246,Barbeque Nation,Dining,354.96,2024-01-01 14:23:51,Hyderabad,9.81,approved
TXN000016,USR0180,BPCL,Fuel,123.91,2024-01-01 15:20:51,Mumbai,0.93,approved
TXN000017,USR0282,Shell,Fuel,68.82,2024-01-01 15:21:17,Pune,0.6,approved
TXN000018,USR0234,Dream11,Entertainment,269.64,2024-01-01 16:36:24,Kanpur,7.04,approved
TXN000019,USR0163,Zepto,Groceries,210.54,2024-01-01 17:55:14,Bangalore,4.07,approved
TXN000020,USR0022,Zepto,Groceries,272.25,2024-01-01 18:07:32,Bangalore,7.03,approved
TXN000021,USR0201,Myntra,Shopping,863.81,2024-01-01 19:13:59,Delhi,32.76,approved
TXN000022,USR0189,Jio,Utilities,296.28,2024-01-01 19:41:09,Kanpur,1.57,approved
TXN000023,USR0310,Myntra,Shopping,633.85,2024-01-01 19:43:32,Kanpur,21.56,approved
TXN000024,USR0051,Indian Oil,Fuel,85.19,2024-01-01 19:46:59,Chennai,0.47,approved
TXN000025,USR0382,McDonald's,Dining,304.4,2024-01-01 19:58:57,Bangalore,14.91,approved
TXN000026,USR0042,Shell,Fuel,77.75,2024-01-01 20:06:23,Delhi,0.52,approved
TXN000027,USR0125,Medanta,Healthcare,684.82,2024-01-01 20:18:48,Mumbai,20.31,approved
TXN000028,USR0365,HP Petrol Pump,Fuel,92.58,2024-01-01 20:38:16,Pune,0.67,approved
TXN000029,USR0077,McDonald's,Dining,86.78,2024-01-01 21:30:20,Pune,2.09,approved
TXN000030,USR0353,Shell,Fuel,145.51,2024-01-01 21:41:37,Kolkata,1.27,approved
TXN000031,USR0199,PVR Cinemas,Entertainment,231.32,2024-01-01 22:02:05,Delhi,2.45,approved
TXN000032,USR0248,Essar Fuel,Fuel,100.6,2024-01-01 22:30:22,Mumbai,0.57,approved
TXN000033,USR0330,BESCOM,Utilities,429.94,2024-01-02 00:49:16,Hyderabad,5.49,approved
TXN000034,USR0286,Lenskart,Healthcare,10.0,2024-01-02 02:10:05,Delhi,0.27,approved
TXN000035,USR0095,Samsung Plaza,Electronics,5594.26,2024-01-02 03:48:58,Kanpur,0.0,declined
TXN000036,USR0265,Cleartrip,Travel,3427.44,2024-01-02 04:45:35,Chennai,125.42,approved
TXN000037,USR0247,BigBasket,Groceries,10.0,2024-01-02 05:33:12,Kolkata,0.13,approved
TXN000038,USR0101,Amazon,Shopping,1276.86,2024-01-02 08:25:03,Bangalore,61.96,approved
TXN000039,USR0072,Swiggy,Dining,475.83,2024-01-02 13:53:01,Kolkata,12.52,approved
TXN000040,USR0180,Spencer's,Groceries,10.0,2024-01-02 14:35:28,Jaipur,0.3,approved
TXN000041,USR0135,Medanta,Healthcare,1601.86,2024-01-02 14:57:26,Bangalore,22.27,approved
TXN000042,USR0380,BigBasket,Groceries,222.57,2024-01-02 16:35:17,Mumbai,4.98,approved
TXN000043,USR0280,Barbeque Nation,Dining,517.59,2024-01-02 18:06:08,Delhi,13.77,approved
TXN000044,USR0211,PharmEasy,Healthcare,1356.42,2024-01-02 18:39:45,Mumbai,14.66,approved
TXN000045,USR0095,Tata Power,Utilities,781.18,2024-01-02 18:47:03,Bangalore,138.71,approved
TXN000046,USR0084,Myntra,Shopping,2247.43,2024-01-02 18:58:28,Delhi,54.09,approved
TXN000047,USR0392,BPCL,Fuel,68.55,2024-01-02 19:13:50,Kanpur,0.63,approved
TXN000048,USR0270,Hotstar,Entertainment,296.23,2024-01-02 20:15:52,Pune,11.24,approved
TXN000049,USR0227,Shell,Fuel,89.17,2024-01-02 20:39:09,Jaipur,0.47,approved
TXN000050,USR0144,Samsung Plaza,Electronics,2497.92,2024-01-02 20:46:27,Kanpur,311.23,approved
TXN000051,USR0051,Myntra,Shopping,638.38,2024-01-02 20:54:23,Kanpur,23.24,approved
TXN000052,USR0260,Zomato,Dining,776.07,2024-01-02 21:45:57,Mumbai,,approved
TXN000053,USR0364,BPCL,Fuel,65.69,2024-01-02 22:13:03,Jaipur,0.54,approved
TXN000054,USR0273,BPCL,Fuel,104.51,2024-01-02 22:50:27,Bangalore,0.53,approved
TXN000055,USR0177,BigBasket,Groceries,222.9,2024-01-03 01:15:53,Chennai,3.9,approved
TXN000056,USR0007,Hotstar,Entertainment,184.13,2024-01-03 01:18:08,Pune,2.19,approved
TXN000057,USR0398,Amazon,Shopping,679.72,2024-01-03 03:00:18,Delhi,33.66,approved
TXN000058,USR0325,Vijay Sales,Electronics,281.67,2024-01-03 03:39:33,Jaipur,3.25,approved
TXN000059,USR0355,BPCL,Fuel,107.32,2024-01-03 04:08:32,Jaipur,0.79,approved
TXN000060,USR0100,DMart,Groceries,121.44,2024-01-03 04:26:22,Delhi,1.6,approved
TXN000061,USR0264,DMart,Groceries,216.93,2024-01-03 04:30:13,Kolkata,5.84,approved
TXN000062,USR0116,Lenskart,Healthcare,1450.87,2024-01-03 05:10:13,Mumbai,16.47,approved
TXN000063,USR0245,Cleartrip,Travel,5284.97,2024-01-03 05:33:05,Pune,0.0,declined
TXN000064,USR0191,Reliance Fresh,Groceries,233.08,2024-01-03 08:19:51,Delhi,6.65,approved
TXN000065,USR0268,Samsung Plaza,Electronics,6832.87,2024-01-03 09:33:59,Delhi,81.19,approved
TXN000066,USR0189,Dream11,Entertainment,75.92,2024-01-03 13:56:42,Delhi,1.78,approved
TXN000067,USR0222,Apple Store,Electronics,4638.53,2024-01-03 14:01:45,Jaipur,0.0,declined
TXN000068,USR0301,Croma,Electronics,3991.28,2024-01-03 14:27:26,Delhi,0.0,declined
TXN000069,USR0388,Shell,Fuel,80.28,2024-01-03 15:42:13,Kolkata,0.55,approved
TXN000070,USR0236,McDonald's,Dining,276.0,2024-01-03 15:42:38,Mumbai,4.31,approved
TXN000071,USR0362,McDonald's,Dining,120.99,2024-01-03 15:46:56,Chennai,4.12,approved
TXN000072,USR0215,Indian Oil,Fuel,47.02,2024-01-03 15:51:00,Hyderabad,0.26,approved
TXN000073,USR0372,Spencer's,Groceries,216.13,2024-01-03 16:53:32,Kanpur,3.24,approved
TXN000074,USR0180,HP Petrol Pump,Fuel,84.82,2024-01-03 17:07:58,Kanpur,0.73,approved
TXN000075,USR0158,McDonald's,Dining,436.09,2024-01-03 18:09:05,Pune,21.53,approved
TXN000076,USR0190,Amazon,Shopping,1174.81,2024-01-03 18:31:27,Kanpur,17.07,approved
TXN000077,USR0197,Lenskart,Healthcare,1138.6,2024-01-03 18:50:47,Hyderabad,28.76,approved
TXN000078,USR0104,DMart,Groceries,83.97,2024-01-03 19:58:14,Chennai,1.7,approved
TXN000079,USR0239,Haldiram's,Dining,269.67,2024-01-03 20:26:53,Jaipur,3.33,approved
TXN000080,USR0321,Nykaa,Shopping,2426.04,2024-01-03 20:52:07,Mumbai,58.6,approved
TXN000081,USR0176,Shell,Fuel,151.71,2024-01-03 20:53:51,Mumbai,1.19,approved
TXN000082,USR0114,IndiGo,Travel,4436.04,2024-01-03 21:19:08,Kanpur,264.99,approved
TXN000083,USR0376,HP Petrol Pump,Fuel,111.89,2024-01-03 21:30:50,Hyderabad,0.69,approved
TXN000084,USR0032,Ola Cabs,Travel,8649.46,2024-01-03 21:46:18,Delhi,0.0,declined
TXN000085,USR0320,DMart,Groceries,377.21,2024-01-03 22:07:00,Mumbai,8.0,approved
TXN000086,USR0383,BigBasket,Groceries,116.2,2024-01-03 22:16:15,Jaipur,1.35,approved
TXN000087,USR0147,Zepto,Groceries,108.57,2024-01-03 22:36:56,Pune,2.67,approved
TXN000088,USR0114,Dream11,Entertainment,290.19,2024-01-03 22:41:57,Kanpur,8.91,approved
TXN000089,USR0300,MakeMyTrip,Travel,10.0,2024-01-03 22:42:27,Kolkata,0.41,approved
TXN000090,USR0091,Nykaa,Shopping,744.32,2024-01-03 22:53:20,Delhi,23.86,approved
TXN000091,USR0237,Zepto,Groceries,263.34,2024-01-03 23:24:20,Delhi,4.24,approved
TXN000092,USR0206,Hotstar,Entertainment,190.12,2024-01-04 00:23:36,Kanpur,6.28,approved
TXN000093,USR0234,BSNL,Utilities,690.95,2024-01-04 03:12:03,Delhi,6.41,approved
TXN000094,USR0160,BPCL,Fuel,91.9,2024-01-04 05:20:35,Pune,0.55,approved
TXN000095,USR0205,Myntra,Shopping,861.18,2024-01-04 05:39:37,Mumbai,35.0,approved
TXN000096,USR0286,Meesho,Shopping,1551.76,2024-01-04 06:46:05,Mumbai,49.93,approved
TXN000097,USR0215,Swiggy,Dining,385.27,2024-01-04 07:17:17,Bangalore,15.91,approved
TXN000098,USR0144,Vijay Sales,Electronics,4386.82,2024-01-04 08:05:37,Chennai,79.42,approved
TXN000099,USR0304,Essar Fuel,Fuel,95.93,2024-01-04 08:14:54,Jaipur,,approved
TXN000100,USR0078,Haldiram's,Dining,361.4,2024-01-04 08:40:53,Kolkata,6.28,approved
TXN000101,USR0190,Tata Power,Utilities,1302.55,2024-01-04 08:50:50,Jaipur,9.44,approved
TXN000102,USR0312,Airtel,Utilities,563.33,2024-01-04 09:35:54,Kanpur,77.99,approved
TXN000103,USR0204,DMart,Groceries,173.07,2024-01-04 09:47:18,Mumbai,3.27,approved
TXN000104,USR0136,Haldiram's,Dining,799.56,2024-01-04 10:04:44,Bangalore,,approved
TXN000105,USR0232,Reliance Fresh,Groceries,189.61,2024-01-04 12:48:43,Kolkata,4.36,approved
TXN000106,USR0063,Apple Store,Electronics,10.0,2024-01-04 14:03:14,Mumbai,0.18,approved
TXN000107,USR0310,Netmeds,Healthcare,1178.48,2024-01-04 14:44:57,Mumbai,26.19,approved
TXN000108,USR0378,PharmEasy,Healthcare,1529.62,2024-01-04 15:36:14,Bangalore,23.84,approved
TXN000109,USR0069,McDonald's,Dining,682.34,2024-01-04 16:52:29,Bangalore,31.18,approved
TXN000110,USR0321,Netmeds,Healthcare,889.69,2024-01-04 17:14:45,Jaipur,9.78,approved
TXN000111,USR0102,Apple Store,Electronics,7579.48,2024-01-04 18:28:32,Delhi,0.0,declined
TXN000112,USR0044,Myntra,Shopping,1628.22,2024-01-04 18:38:51,Kanpur,30.91,approved
TXN000113,USR0192,BESCOM,Utilities,925.29,2024-01-04 18:43:26,Bangalore,8.55,approved
TXN000114,USR0348,Amazon,Shopping,503.87,2024-01-04 18:44:10,Mumbai,16.87,approved
TXN000115,USR0102,Ola Cabs,Travel,2651.42,2024-01-04 18:44:32,Kanpur,0.0,declined
